Serial Number;205145
Device Identity;20514510mH2O
Exported from File;C:\Users\Mika\Documents\Privat\Studium\Master\Lectures\02_glaciology\Data\2024-08-23\205145-10mH2O_23_08_2024-08_30_00.DX5 
Record Start Time;23.08.2024 08:30:00

;;;;CH1;CH4;CH11
;;;;Pressure1;Temperature TOB1;Conductivity Raw
;;;;mbar;°C;uS/cm
No;;Date;Time;P1;TOB1;ConRaw
1;;23/08/2024;08:30:00;778,65600;15,454;0,00000;
2;;23/08/2024;08:30:01;778,65600;15,454;0,00000;
3;;23/08/2024;08:30:02;778,68650;15,454;0,00000;
4;;23/08/2024;08:30:03;778,65600;15,454;0,00000;
5;;23/08/2024;08:30:04;778,65600;15,454;0,00000;
6;;23/08/2024;08:30:05;778,68650;15,454;0,00000;
7;;23/08/2024;08:30:06;778,65600;15,454;0,00000;
8;;23/08/2024;08:30:07;778,68650;15,454;0,00000;
9;;23/08/2024;08:30:08;778,65600;15,454;0,00000;
10;;23/08/2024;08:30:09;778,65600;15,454;0,00000;
11;;23/08/2024;08:30:10;778,68650;15,454;0,00000;
12;;23/08/2024;08:30:11;778,68650;15,454;0,00000;
13;;23/08/2024;08:30:12;778,65600;15,454;0,00000;
14;;23/08/2024;08:30:13;778,68650;15,454;0,00000;
15;;23/08/2024;08:30:14;778,68650;15,454;0,00000;
16;;23/08/2024;08:30:15;778,70180;15,454;0,00000;
17;;23/08/2024;08:30:16;778,65600;15,454;0,00000;
18;;23/08/2024;08:30:17;778,65600;15,454;0,00000;
19;;23/08/2024;08:30:18;778,68650;15,454;0,00000;
20;;23/08/2024;08:30:19;778,65600;15,454;0,00000;
21;;23/08/2024;08:30:20;778,68650;15,454;0,00000;
22;;23/08/2024;08:30:21;778,65600;15,454;0,00000;
23;;23/08/2024;08:30:22;778,65600;15,437;0,00000;
24;;23/08/2024;08:30:23;778,65600;15,454;0,00000;
25;;23/08/2024;08:30:24;778,68650;15,454;0,00000;
26;;23/08/2024;08:30:25;778,68650;15,454;0,00000;
27;;23/08/2024;08:30:26;778,65600;15,437;0,00000;
28;;23/08/2024;08:30:27;778,65600;15,454;0,00000;
29;;23/08/2024;08:30:28;778,68650;15,437;0,00000;
30;;23/08/2024;08:30:29;778,65600;15,437;0,00000;
31;;23/08/2024;08:30:30;778,65600;15,437;0,00000;
32;;23/08/2024;08:30:31;778,68650;15,437;0,00000;
33;;23/08/2024;08:30:32;778,68650;15,454;0,00000;
34;;23/08/2024;08:30:33;778,68650;15,437;0,00000;
35;;23/08/2024;08:30:34;778,70180;15,437;0,00000;
36;;23/08/2024;08:30:35;778,76280;15,437;0,00000;
37;;23/08/2024;08:30:36;778,62550;15,437;0,00000;
38;;23/08/2024;08:30:37;778,68650;15,437;0,00000;
39;;23/08/2024;08:30:38;778,70180;15,437;0,00000;
40;;23/08/2024;08:30:39;778,68650;15,437;0,00000;
41;;23/08/2024;08:30:40;778,65600;15,437;0,00000;
42;;23/08/2024;08:30:41;778,65600;15,437;0,00000;
43;;23/08/2024;08:30:42;778,65600;15,419;0,00000;
44;;23/08/2024;08:30:43;778,68650;15,437;0,00000;
45;;23/08/2024;08:30:44;778,68650;15,437;0,00000;
